Run,Full,Minimal
395,"['MCU_SEL', 'MCU']",['MCU_SEL']
396,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
397,"['MCU_SEL', 'MCU']",['MCU_SEL']
398,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
399,"['MCU_SEL', 'MCU']",['MCU_SEL']
400,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
401,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
402,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
403,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
404,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
405,"['MCU_SEL', 'MCU']",['MCU_SEL']
406,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
407,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
408,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
409,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
410,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
411,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
412,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
413,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
414,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
415,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
416,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
417,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
418,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
419,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
420,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
421,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
422,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
423,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
424,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
425,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
426,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
427,"['MCU_SEL', 'MCU']",['MCU_SEL']
428,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
429,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
430,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
431,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
432,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
433,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
434,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
435,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
436,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
437,"['MCU_SEL', 'MCU']",['MCU_SEL']
438,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
439,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
440,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
441,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
442,"['MCU_SEL', 'MCU']",['MCU_SEL']
443,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
