Time (hr),MJD (days),Altitude (km),Latitude (deg),Longitude (deg),LocalTime (hrs),Alpha (deg),L-shell,Orbit
10.2,26670.425,6564.906,0.00220183,7.79006,10.719337,90.0,2.0917,0
10.21639,26670.42569444,6327.754,0.002188943,9.017679,10.817845,90.0,2.0532,0
10.23333,26670.42638889,6090.488,0.002173993,10.301549,10.920103,90.0,2.0146,0
10.24972,26670.42708333,5853.278,0.002156777,11.64495,11.02633,90.0,1.9761,0
10.26667,26670.42777778,5616.313,0.002137074,13.051374,11.136758,90.0,1.9377,0
10.28306,26670.42847222,5379.804,0.002114639,14.524533,11.251636,90.0,1.8992,0
10.3,26670.42916667,5143.989,0.002089207,16.068363,11.371224,90.0,1.8609,0
10.31639,26670.42986111,4909.132,0.002060484,17.687031,11.495802,90.0,1.8226,0
10.33333,26670.43055556,4675.529,0.002028152,19.384933,11.625662,90.0,1.7845,0
10.35,26670.43125,4443.508,0.001991865,21.166689,11.761113,90.0,1.7466,0
10.36639,26670.43194444,4213.438,0.001951248,23.037129,11.902475,90.0,1.7087,0
10.38333,26670.43263889,3985.724,0.001905898,25.001279,12.050085,90.0,1.6711,0
10.39972,26670.43333333,3760.82,0.001855382,27.064321,12.204288,90.0,1.6336,0
10.41667,26670.43402778,3539.226,0.001799242,29.231555,12.365437,90.0,1.5964,0
10.43306,26670.43472222,3321.495,0.001736997,31.50833,12.533889,90.0,1.5596,0
10.45,26670.43541667,3108.235,0.001668147,33.899968,12.709998,90.0,1.5229,0
10.46639,26670.43611111,2900.111,0.001592184,36.411649,12.89411,90.0,1.4871,0
10.48333,26670.43680556,2697.852,0.001508603,39.048279,13.086552,90.0,1.4517,0
10.5,26670.4375,2502.246,0.001416912,41.81432,13.287621,90.0,1.417,0
10.51639,26670.43819444,2314.141,0.001316659,44.713592,13.497573,90.0,1.3832,0
10.53333,26670.43888889,2134.445,0.001207452,47.749031,13.716602,90.0,1.3503,0
10.54972,26670.43958333,1964.12,0.00108899,50.922426,13.944828,90.0,1.3186,0
10.56667,26670.44027778,1804.169,0.0009610964,54.234119,14.182275,90.0,1.2883,0
10.58306,26670.44097222,1655.63,0.000823756,57.682697,14.428846,90.0,1.2595,0
10.6,26670.44166667,1519.558,0.0006771548,61.264686,14.684312,90.0,1.2322,0
10.61639,26670.44236111,1397.001,0.0005217166,64.974268,14.948285,90.0,1.2074,0
10.63333,26670.44305556,1288.98,0.0003581353,68.803053,15.220204,90.0,1.185,0
10.65,26670.44375,1196.46,0.000187395,72.739945,15.49933,90.0,1.1655,0
