Time (s),Altitude (km),L-shell,Dose Rate (rad/s),Total Dose (rad)
9160000.0,35786.0,6.75,0.0023,21114.0
9180000.0,35786.0,6.75,0.0023,21160.0
9200000.0,35786.0,6.75,0.0023,21206.0
9220000.0,35786.0,6.75,0.0023,21252.0
9240000.0,35786.0,6.75,0.0023,21298.0
9260000.0,35786.0,6.75,0.0023,21344.0
9280000.0,35786.0,6.75,0.0023,21390.0
9300000.0,35786.0,6.75,0.0023,21436.0
9320000.0,35786.0,6.75,0.0023,21482.0
9340000.0,35786.0,6.75,0.0023,21528.0
9360000.0,35786.0,6.75,0.0023,21574.0
9380000.0,35786.0,6.75,0.0023,21620.0
9400000.0,35786.0,6.75,0.0023,21666.0
9420000.0,35786.0,6.75,0.0023,21712.0
9440000.0,35786.0,6.75,0.0023,21758.0
9460000.0,35786.0,6.75,0.0023,21804.0
9480000.0,35786.0,6.75,0.0023,21850.0
9500000.0,35786.0,6.75,0.0023,21896.0
9520000.0,35786.0,6.75,0.0023,21942.0
9540000.0,35786.0,6.75,0.0023,21988.0
9560000.0,35786.0,6.75,0.0023,22034.0
9580000.0,35786.0,6.75,0.0023,22080.0
9600000.0,35786.0,6.75,0.0023,22126.0
9620000.0,35786.0,6.75,0.0023,22172.0
9640000.0,35786.0,6.75,0.0023,22218.0
9660000.0,35786.0,6.75,0.0023,22264.0
9680000.0,35786.0,6.75,0.0023,22310.0
9700000.0,35786.0,6.75,0.0023,22356.0
9720000.0,35786.0,6.75,0.0023,22402.0
9740000.0,35786.0,6.75,0.0023,22448.0
9760000.0,35786.0,6.75,0.0023,22494.0
9780000.0,35786.0,6.75,0.0023,22540.0
9800000.0,35786.0,6.75,0.0023,22586.0
9820000.0,35786.0,6.75,0.0023,22632.0
9840000.0,35786.0,6.75,0.0023,22678.0
9860000.0,35786.0,6.75,0.0023,22724.0
9880000.0,35786.0,6.75,0.0023,22770.0
9900000.0,35786.0,6.75,0.0023,22816.0
9920000.0,35786.0,6.75,0.0023,22862.0
9940000.0,35786.0,6.75,0.0023,22908.0
9960000.0,35786.0,6.75,0.0023,22954.0
9980000.0,35786.0,6.75,0.0023,23000.0
10000000.0,35786.0,6.75,0.0023,23046.0
10020000.0,35786.0,6.75,0.0023,23092.0
10040000.0,35786.0,6.75,0.0023,23138.0
10060000.0,35786.0,6.75,0.0023,23184.0
10080000.0,35786.0,6.75,0.0023,23230.0
10100000.0,35786.0,6.75,0.0023,23276.0
10120000.0,35786.0,6.75,0.0023,23322.0
10140000.0,35786.0,6.75,0.0023,23368.0
10160000.0,35786.0,6.75,0.0023,23414.0
10180000.0,35786.0,6.75,0.0023,23460.0
10200000.0,35786.0,6.75,0.0023,23506.0
10220000.0,35786.0,6.75,0.0023,23552.0
10240000.0,35786.0,6.75,0.0023,23598.0
10260000.0,35786.0,6.75,0.0023,23644.0
10280000.0,35786.0,6.75,0.0023,23690.0
10300000.0,35786.0,6.75,0.0023,23736.0
10320000.0,35786.0,6.75,0.0023,23782.0
10340000.0,35786.0,6.75,0.0023,23828.0
10360000.0,35786.0,6.75,0.0023,23874.0
10380000.0,35786.0,6.75,0.0023,23920.0
10400000.0,35786.0,6.75,0.0023,23966.0
10420000.0,35786.0,6.75,0.0023,24012.0
10440000.0,35786.0,6.75,0.0023,24058.0
10460000.0,35786.0,6.75,0.0023,24104.0
10480000.0,35786.0,6.75,0.0023,24150.0
10500000.0,35786.0,6.75,0.0023,24196.0
10520000.0,35786.0,6.75,0.0023,24242.0
10540000.0,35786.0,6.75,0.0023,24288.0
10560000.0,35786.0,6.75,0.0023,24334.0
10580000.0,35786.0,6.75,0.0023,24380.0
10600000.0,35786.0,6.75,0.0023,24426.0
10620000.0,35786.0,6.75,0.0023,24472.0
10640000.0,35786.0,6.75,0.0023,24518.0
10660000.0,35786.0,6.75,0.0023,24564.0
10680000.0,35786.0,6.75,0.0023,24610.0
10700000.0,35786.0,6.75,0.0023,24656.0
10720000.0,35786.0,6.75,0.0023,24702.0
10740000.0,35786.0,6.75,0.0023,24748.0
10760000.0,35786.0,6.75,0.0023,24794.0
10780000.0,35786.0,6.75,0.0023,24840.0
10800000.0,35786.0,6.75,0.0023,24886.0
10820000.0,35786.0,6.75,0.0023,24932.0
10840000.0,35786.0,6.75,0.0023,24978.0
10860000.0,35786.0,6.75,0.0023,25024.0
10880000.0,35786.0,6.75,0.0023,25070.0
10900000.0,35786.0,6.75,0.0023,25116.0
10920000.0,35786.0,6.75,0.0023,25162.0
10940000.0,35786.0,6.75,0.0023,25208.0
10960000.0,35786.0,6.75,0.0023,25254.0
10980000.0,35786.0,6.75,0.0023,25300.0
11000000.0,35786.0,6.75,0.0023,25346.0
11020000.0,35786.0,6.75,0.0023,25392.0
11040000.0,35786.0,6.75,0.0023,25438.0
